,0
0,"Six senators, new executive team elected
Current ASUCD Vice President Abhay Sandhu announced the ASUCD election results on Feb. 24 in the Memorial Unions Mee room. Six senators were elected: Sam Chiang, Michael Gofman, Khadeja Ibrahim, Rahi Suryawanshi, Marcos Rodriguez and Yajaira Ramirez Sigala. Chiang and Ibrahim ran on the BASED slate, while Suryawanshi, Rodriguez and Ramirez Sigala ran on the Bespoke slate. Gofman ran independently.
The new ASUCD president and vice president will be Josh Dalavai and Adilla Jamaludin. Dalavai and Jamaludin ran on the BASED slate. 
The results will also be posted online at elections.ucdavis.edu."
1,"Wells Fargo faces fraud, predatory lending charges, other controversies
The University of California (UC) will retract a $300 million line of credit and a $150 million interest reset contract with Wells Fargo by April of this year. $200 million has already been retracted, and the remaining $100 million will be divested after a replacement bank is found. This follows the termination of the $25 million commercial paper contract with Wells Fargo by the UC in November of 2016. 
In September of 2016, the Consumer Financial Protection Bureau (CFPB) fined Wells Fargo $100 million for secretly opening unauthorized banking accounts for existing customers. Federal investigators discovered that Wells Fargo employees had created two million fraudulent bank and credit accounts under the names of existing customers since 2011, prompting the California state treasury to suspend its Wells Fargo investment. The national bank was fined $185 million for these violations.
 Wells Fargo is currently part of a banking conglomerate that provides a $900 million line of revolving credit to The GEO Group, the private prison and immigration detention company, and a $135 million line of credit to the private prison group CoreCivic. In August of 2016, the U.S. Department of Justice confirmed its intention to withdraw from privately-operated prison contracts. 
Last year, the Afrikan Black Coalition (ABC) successfully pushed the UC to divest $30 million from private prison companies.
Wells Fargo has also faced accusations, lawsuits and settlements regarding racially discriminatory and predatory lending to African Americans and Latinos  it settled with the Justice Department for $184.3 million in 2012. 
Recently, Wells Fargo received negative press for helping fund the North Dakota Access Pipeline. Wells Fargo is one of several large banks providing loans and support for the construction of the Dakota Access Pipeline. 
Francisco Ferreyra, a third-year community and regional development major at UC Davis and the environmental sustainability officer of the UC Student Association, said that Davis residents and several student groups asked the Davis City Council to also take action against the Dakota Access Pipeline.
We came to the city council and we asked them to stand in solidarity with Standing Rock and oppose the Dakota Access Pipeline, Ferreyra said. These oppressive forces of the fossil fuel industry, the finance industry, they dont care about you or I. They care about two things: their profits and their reputations. The strategy for us on the ground is to hit them where it hurts, in those two spots. Divestment is a historically successful tactic.
On Feb. 7, the City of Davis also ended its contract with Wells Fargo. It will be moving $124 million in banking services to another institution by the end of this year. Davis marks the second city embarking on this process, after Seattle finalized its divestment of $3 billion from Wells Fargo on the same day.
Over the years, a couple of councils ago before I was on, there has been a desire to move more of our banking services to local or regional banks as opposed to large national banks that may or may not have real tight links to our community, Mayor Robb Davis said.
Davis believes that these unethical practices do not constitute socially responsible banking  they are another factor in the councils decision to divest.
Claire Doan, a member of UC media relations, explained the universitys rationale for severing ties with Wells Fargo.
UC believes unwinding some of our credit relationships and suspending our investment banking relationships in tandem with the state treasurer were appropriate actions taken in light of the unauthorized bank and credit card accounts opened by Wells Fargo, Doan wrote via email. However, we value our long-standing relationship with the bank, and moving forward we want to continue to engage with new leadership as they reform their business practices.
Connor Gorman, a UC student workers union organizer within the local Davis chapter, said that the ABC was the schools driving force in a push to divest from Wells Fargo. 
The ABC announced the divestment on its website and celebrated the victory.
 By taking a stand against the amoral practices of an enormous corporation like Wells Fargo, the Afrikan Black Coalition is pushing the UC to exhibit the kind of leadership necessary for the survival of communities unfairly targeted by a criminal financial system, a post on the ABC website read. We dedicate this small victory to the hundreds and thousands of our people who are trapped in Americas gulags. Through the organized struggle of our masses, we believe our liberation is inevitable.
Ruben Pulido, the vice president and communications manager of corporate communications for Wells Fargo, wrote over email that the bank will continue to support the UC despite the divestment. Pulido said that Wells Fargo does not deny lines of credit with private prisons.
Since the 1970s, Wells Fargo has proudly supported the University of Californias mission to be a world-class public research university system, Pulido said. And we stand ready to provide that vital support in the future. While we respect the seriousness of our countrys ongoing debate about the criminal justice system, we do not as a corporation take positions on public policy issues that do not directly affect our companys ability to serve customers and support our team members. Due to chronic prison overcrowding, federal and state governments have for the past 30 years been contracting out detention services. People who want to change that should address their concerns with the appropriate government officials. 
Pulido added that the bank wields no influence in private prison policies and conduct.
Wells Fargo is a bank, Pulido said. We do not set U.S. detention system policy; we have nothing to do with the setting or enforcement of laws; we dont tell judges where to place people accused of or found guilty of violating the law; and we dont tell the federal and state governments which companies should be awarded contracts. Wells Fargo holds no shares of either The GEO Group or CoreCivic. We have no seat on either companys board of directors, and we do not dictate their policies or business models."
2,"Faculty, students recount personal tales of immigration; highlight value of diversity
UC Davis students, faculty and members of the Davis community gathered on the Quad on Feb. 9 to display their solidarity with those directly affected by President Donald Trumps immigration ban.
In light of the recent executive order, universities across the country have organized similar rallies with the uniting objective of Academics United  No Visa and Immigration Ban. Nazanin Akrami and Ellie White  both graduate students at UC Davis in cooperation with SEDAD, the Iranian graduate student association  were the organizers of this peaceful rally.
The event was approximately an hour long, d
uring which participants were prepared with rain ponchos, umbrellas and signs that displayed slogans such as Love not hate makes the nation great and No ban, No wall, No Trump, No fear. It received publicity on multiple news platforms, including Fox 40 and CBS Sacramento.
Akrami said that her goal for the event was to start a conversation about diversity in order to feel more connected and help people going through these issues.
The rally showcased many speakers ranging from graduate students, to faculty members, to Mayor Robb Davis, whose speech was titled My Home Towns Are Home to the World.
In his speech the mayor stressed the importance of proclaiming ourselves a sanctuary city and welcoming people from all over the world.
They have an order that capriciously excludes people from seven nations at the stroke of a pen, including the victims of wars that have grown in the soil where our nation soiled the seeds of societal destruction in the name of freedom, Davis said. This affects all of us because it fundamentally puts into question what feels real and natural and beautiful to us. It offends our cultural values.
Dr. Banafsheh Sadeghi, an assistant professor at the UC Davis School of Medicine, delivered an emotionally-charged speech about her personal experience with the executive order.
Sadeghi discussed the fear of entering the unknown as a result of immigration, in addition to the psychological and emotional tolls of making sacrifices for following a path that leads to a better world.
Furthermore, she expressed the grief she felt when she was forced to choose between staying with her children in America or visiting her mother in her home country of Iran the week the executive order was put into effect. She went on to discuss how crucial it is to maintain love and compassion in such politically turbulent and tense times.
Additionally, Koen Van Rompay, a recipient of the Chancellors Achievement Award for Diversity and Community, and Wesley Young, director of services for international students and scholars, both delivered talks on the priceless value of international ties.
Akrami and graduate students Hossein Karimi and Abdolhossein Edalati also shared stories of both triumph and struggle as a result of immigration and the consequences of the ban.
White read a statement on behalf of physics professor, Mohammad H. Hamidian, who was unable to be present at the rally.
In his statement Hamidian recounted the story of his immigration to Canada as a war refugee during his childhood and later to the U.S. as a student. His statement expressed his concerns for the fading opportunities of future immigrant professors, artists, musicians, engineers and teachers and how they may not have the chance to be safe and reach their potential in a society with so many opportunities. 
On a lighter note, he concluded with having immense hope in the outpouring support and generosity of the people in this country.
UC Davis Yassi Mostafavi, a second-year political science and English double major, and Ariana Abedifard, a second-year environmental policy analysis and planning major, both felt closely connected with the speeches given at the rally.
As an Iranian, its heartwarming to see that people are coming out to support those affected by this terrible executive order, these are not the principles this country was founded on, Mostafavi said."
3,"Opening date pushed back to May 1
Students have awaited the full reopening of the Memorial Union (MU) for almost two years since its closure in early 2015. Recently, however, the reopening date was pushed back to May 1, meaning that students will be left for an extra month without access to the central hub of campus.
We had been working towards a public opening that was slated to be April 3rd, said Matt Fucile, the director of Building and Event Services, Divisional Resources, via email. However, with some new information we have received on the construction processes, we are currently reviewing a postponement of that opening.
Notwithstanding another delay, plans are in motion to host a ceremonial grand opening. Details remain scarce, however, on what this celebration will entail.
A ceremonial grand opening will take place, Fucile said. Planning for that is underway, and details should be more readily available shortly. Of course, while we had been close to the date for this, this will also need to be determined by the new opening date we are resolving. The plan was for the event not to happen on the opening date, but within a couple weeks after (schedule dependent).
Greg Secor, senior project manager for Design and Construction Management, is one person who has been working on bringing the construction to completion. Secor is looking forward to students being able to see the MU fully renovated.
I will be excited to see the new wide open spaces created on the first [and] second floor of the MU, Secor said via email. These new spaces are reminiscent of the buildings original design which had a clarity to its clear open floor plan. I think students will be excited about the large amount of new lounge space the building will provide. Hopefully it will take some pressure off the COHO right next door by providing more seating options for groups and individuals.
Sarah Santamaria, a second-year community and regional development major, is ready to experience the full MU for the first time, since it has been closed throughout her time at UC Davis so far.
I have heard a lot of talk about all of the different things that are going on and that are going to be brought, which Ive never experienced, Santamaria said. I have heard a lot about the gaming area and that sounds really cool. Right now [] the seating area, that sounds really nice. Youre always kind of having to run toward a seating area when it opens up. I think its just something thats really exciting for our community here and something that makes us different and special and unique.
Looking back on the renovation process, Secor said that construction teams have faced various unexpected challenges while working on the building over the past two years. "
4,"Veto included revision abandoning creation of oversight committee for judicial council
Last month ASUCD President Alex Lee issued a series of vetoes on legislation passed by the student Senate, including a revision veto on a constitutional amendment to create a Judicial Council and a Judicial Council Oversight Committee (JCOC).

 Constitutional Amendment #50, authored by the Internal Affairs Commission (IAC) chair Nick Flores, was passed on Jan. 26 with a vote of 9-1-1. Senator Sofia Molodanof voted against the measure while Senator Shaitaj Dhaliwal abstained.

 ASUCD Constitutional Amendment #49 was placed on the Fall 2016 ASUCD ballot and passed with an 86.49% affirmative vote, effectively dissolving the ASUCD Court, Flores wrote in the amendment. Given the necessity for an adjudicating body in student government, this Amendment seeks to create a new, functioning Judicial Council in ASUCD. Additionally, this Amendment creates a Judicial Council Oversight Committee. This Committee, comprised of ASUCD officials from each branch of government, would maintain the power to either concur with or overrule the Judicial Councils ruling.

 The JCOC, which would have the power to overturn decisions by the Judicial Court by a two-thirds majority, would have consisted of three voting members, the ASUCD vice president, the chair of the Judicial Council and the chair of the IAC. 

 Lees revision of the amendment removed the proposition of the JCOC, saying that the Judicial Council should have final say on any ASUCD decision.

 I am returning CA#50 with a veto and recommending deletion of JCOC because I believe an appellate jurisdiction for the appellate jurisdiction is redundant, Lee said in a statement regarding his veto. If it is for this new Council to make judicial decisions under the Constitution, it does not make sense for another body to overturn their decisions. Especially as 2/3 of the JCOC are members of the Executive and Legislative Branches, who both historically have been opposed to judicial rulings.

 In an email interview, Lee described the unnecessary nature of having the final word be given to the branches who originally write the legislation before sending them to a judicial board.
 Allowing members of the Legislative and Executive to overturn Judicial rulings as the last appellate power is not only redundant but defeats the very purpose of Judicial Review, Lee said. What is the point of having another branch to check the other two if the original two (who first saw the legislation [IAC] and later at the vote and signing [VP]) can just reinforce their original will? It makes no sense to me that there is a mechanism for which the two other branches can just reassert their will. JCOC is the highest appellate power and thus the last word. So it makes no sense for the two branches to have the first and last word if you are seeking to have judicial checks. There definitely is an imbalance of power and renders the Judicial Council a useless piece of our already over-bloated ASUCD bureaucracy. If Judicial Council is to be created, it needs to be able to stand on its own two feet and not be rendered useless from the get go.
 Molodanof, who voted against the amendment, said that the significant inclusion of members from the other ASUCD branches in the JCOC did not create adequate representation for the student body.

 Basically, I didnt agree with the JCOC portion of the bill, which is an appeals committee, Molodanof said via email. I wanted more student representation from the judicial board to be a part of the appeals team or to not have one at all. I didnt like how other branches would have a say in appealing a vote by the judicial board (especially since the judicial boards job is to act as a check). It didnt really make sense to me that it could just be overturned by the majority of people from another ASUCD branch (exec and legislative).
 Lee said that since the dissolution of ASUCDs judicial branch in the fall of 2016, concerns have been expressed to the Senate and administration over the need for judicial review. Since the Senate did not convene on Feb. 16, in solidarity with A Day Without Immigrants, the amendment will not be up for a vote on the winter ballot. According to Lee, Flores has stated that he will urge the next president to call for a special election in an effort to create a new judicial branch.
"
5,"Shaheens name to remain on ballot, his votes will not be counted
Senate candidate Zaki Shaheen chose to publicly withdraw from the race during the ASUCD debate on Feb. 21. After one of the debate moderators asked a question regarding one of his platforms, Shaheen spoke briefly about why students run for Senate and how he plans to become more involved with campus issues.
Why do people run for Senate?, Shaheen said. I think that that answer isnt always very clear when you think about what you can also achieve as just an individual student in the process of learning more about ASUCD and about how this school works and preparing yourself to become a better candidate in the future and I just decided that thats what I want to do. Im going to withdraw myself, and I implore all of you to please pass your votes to these other candidates. I intend to spend the next several months learning more about ASUCD, learning more about this school, networking with people so hopefully I can become a candidate that you deserve better in the future. I love this school, I love all of its students, I love all of you and I hope to talk with you more. Ill be around.
Shaheen then left the debate.
According to ASUCD Elections Chair Sevan Nahabedian, Shaheen did not withdraw in time for his name to be removed from the ballot, but Shaheens votes will not be considered in the final count.
Students can currently vote online at elections.ucdavis.edu until Feb. 24 at 8 a.m.
"
6,"Students receive email warnings from UC Davis police
The UC Davis community recently received two crime alerts from the UC Davis Police Department (UCDPD) labelled as suspicious circumstances vandalism/hate incident and campus timely warning/hate incident. 
On Jan. 30, the letters KKK were found graffitied on the inside of a Memorial Union womens bathroom stall in blue ink, six inches tall and 12 inches in length. School personnel removed the etching prior to the police arriving at the scene. 
Later that week, a piece of pork tenderloin was left on the doorstep of Muslim students at 416 Russell Park between the dates of Feb. 3 and Feb. 5. 
Sergeant Max Thomas of the UCDPD explained the Russell Park incident. 
The people who live at the residence came home after being gone for a while and noticed that a piece of meat was lying out in front of their doorway, Thomas said. The three residents happen to be Muslim. Their concern was that it may be referencing the incident at the mosque on Russell Boulevard. Were still investigating  what were finding out now is that it may have been done by an animal, because there may have been a nearby trash bag tore or scratched open.
The incident Thomas is referring to, the vandalism in which windows were broken, bikes were destroyed and pieces of bacon were laid on the mosques door handles, happened in the early hours of Jan. 22. In a university-wide email sent the following day, Chancellor Ralph J. Hexter stated that the crime has caused fear and distress among Davis Muslim community members.
Acts and words of hatred directed toward Muslims as a group is an urgent and growing problem across our society, Hexter said in the email. 
The police department is still unsure if the two on campus incidents are related.
In this political climate, you tend to find a variety of different acts of vandalism, Thomas said. These small acts can become bigger in these sensitive times, and people can react a lot stronger than they would normally.
Andy Fell, associate director of news and media relations at UC Davis, said that the UCDPD has not identified any suspects. 
There are no suspects for either incident, Fell said. They are still being investigated.
Fell said that the theory of an animal dragging and dropping the pork tenderloin is a possibility, but that the investigation is still ensuing. 
That would be a benign explanation, Fell said. Were not able to say anything conclusively at this point. The crime alert we sent out was classified as a hate incident based on the presence of pork outside Muslim students residence.
Dinar Kurji, a second-year religious studies major, believes that the Russell Park incident was targeted towards Muslims to intentionally disparage the community.
I think that act was committed to humiliate a particular sect and to show disrespect, Kurji said.They dont understand that we didnt consume it and that it is not unholy to touch or clean it up. It was done out of ignorance [and] hate and wasnt a positive message."
7,"UC Board of Regents to vote on the appointment later this week
University of California (UC) President Janet Napolitano announced her selection of Gary May as the new UC Davis chancellor on Feb. 21. May currently serves as the dean of Georgia Techs College of Engineering. 
Gary May is a dynamic leader and an accomplished scholar and engineer with a passion for helping others succeed, Napolitano said in a press release. He was chosen from an extraordinarily talented pool of candidates because I believe hes the right person to guide UC Davis to even greater heights, advancing academic and research initiatives, building a stronger community with students, faculty, and staff, and furthering relations with the larger Davis and Sacramento areas.
May will replace Ralph J. Hexter, who has been serving as interim chancellor since Napolitano put former Chancellor Linda P.B. Katehi on investigative leave last April. Katehi resigned as chancellor in August. 
I could not be more pleased, nor more excited, to serve as the next chancellor of the University of California at Davis, May said in the same press release. UC Davis is renowned for its excellent education and research, for providing its diverse student body with exceptional pathways for upward mobility and leadership, for giving its faculty opportunities for impactful discovery, and for serving the state and nation in areas of critical need. These values speak to my spirit, and I cannot wait to join the campus community.
The UC Board of Regents will meet on Feb. 23 to vote on the appointment, and, if approved, May will begin this role on August 1, becoming UC Davis seventh chancellor. In the meantime, Hexter will continue to serve as interim chancellor."
8,"Tighter policies require greater approval of outside jobs
Due to new policies implemented after the investigation of former UC Davis Chancellor Linda P.B. Katehi, University of California (UC) administrators are no longer seeking compensated board seats outside of their senior management jobs at the UC campuses.
In 2015, the UC reported that the majority of approved board positions had compensation, with a total of $1.57 million for 42 managers. After establishment of the new policies, however, the 2016 report noted that 11 managers were approved for their outside activities from July 21 to Nov. 30, only three of which were paid positions that totalled to $9,510 in compensation.
The new policy requires two levels of review and management approval, a UC report read. In addition, more detailed reviews are conducted to assess real or perceived conflicts of interest or commitment, and reputational risk.
Activities now have to get approval through the campus chancellor, the president of the university or the chair of the Board of Regents. The 165 managers, which include UC President Janet Napolitano and campus chancellors, have also been limited to only two paid outside positions as opposed to the original three. 
This decrease in UC administrators seeking additional compensated board seats comes after Katehis resignation last year, where she faced a series of controversies including holding seats on two for-profit boards.
Bernadette Fox, a fourth year-international relations and womens studies major, believes the policies are in place to give the UC administrators insurance and hide their mistakes.
Katehi and [other chancellors] have really tarnished the brand of the UC in the last year or so, Fox said. By them being able to review these positions they can vet them and make sure from an outside perspective it doesnt look bad for the UC as a whole. [] I think it kind of put them in check as far as how greedy [they] want to be.
Emily Breuninger, a fifth-year sociology major, thought the policies were unsatisfactory and did not demonstrate progress in terms of addressing the large amount these administrators make beyond their outside jobs.
If Katehi can get away with taking all of these outside board seats over years and years, and it passes by unnoticed, then I dont see whats there to stop other chancellors or senior administrators from doing the same thing, Breuninger said. I dont think there [are] sufficient mechanisms to ensure that there arent conflicts of interest or that chancellors are prioritizing their campus duties over their outside seats.
Although the managers are allowed to maintain the board positions they currently take on, Fox thinks the decrease in approved board positions is because the administrators are trying to avoid humiliation, and not solely because of Katehi.
Everything that the UC does is very well calculated and is about protecting the expansion of the business model of the UC, Fox said. Its embarrassing to me that it took what it did to get such basic policies put into place.
Breuninger believes that such policies will not help bring about change at the chancellor level, since the main problems reside within the regents.
If the regents are corrupt then everything is corrupt, Breuninger said. Their actions are more egregious.
Breuninger added that the UC administrators are afraid of criticism and losing their jobs.
I dont think that [the policies have] to do with any sort of change in heart on their part, Breuninger said. This is something thats in the public eye right now, so I dont have any hope or optimism that once public attention is turned away from it they wont go straight back to their usual operation."
9,"SR #7 asks university to increase capacity for future campus housing
On Jan. 26, ASUCD passed a new resolution to submit comments on the Notice of Preparation for the Environmental Impact Report (EIR), the next phase for the UC Davis Long Range Development Plan (LRDP).
Resolution #7, authored by Sara Williams, the External Affairs Commission chair, proposes a larger share of on campus housing than previously planned for the 2017-2027 plan. The resolution passed with a vote of 10-0-1, with Senator Shaitaj Dhaliwal abstaining.
As required by the California Environmental Quality Act, the university released a Notice of Preparation, which allows for comments regarding the drafting of the EIR that will eventually be submitted.
UC Davis requests input regarding the scope and content of the Draft EIR that is relevant to your agencys statutory/regulatory responsibilities or is of interest to individuals, to ascertain potential environmental impacts of the project, the notice read. Responses to this NOP are requested to identify: 1) the significant environmental issues, reasonable alternatives, and mitigation measures that should be explored in the Draft EIR; and 2) whether your agency will be a responsible or trustee agency for the project.
The current LRPD includes plans to provide housing for 90 percent of enrollment growth and 40 percent of all Davis-based students by 2027-28.
ASUCD, as well as the Davis City Council, which passed a concurrent resolution, proposes that the university revise those plans to be able to house 100 percent of enrollment growth and 50 percent of all Davis-based students.
Ricardo Martinez, a fourth-year political science and philosophy double major and ASUCD senator, said that the 50/100 proposal will help students who are forced to search for housing outside of Davis.
What the resolution says is that UC Davis should meet the 50 percent in-housing threshold for students so that we can accommodate more students here on campus to live here instead of having them go outside the city and not, you know, find any housing because right now vacancies are really low, Martinez said. So the City of Davis has a problem with housing and that in-turn affects students who often times cant find a place to live and usually what they do is they go with friends or they live in Woodland and its just, its not a good mix when it comes to housing.
UC Davis began planning the LRDP in the fall of 2015. After Feb. 17, the last day for individuals and government agencies to submit comments on the EIR, the university plans to draft the LRDP and EIR for public review in fall 2017. UC Davis will submit the finalized versions to the UC Regents for consideration in early 2018.
ASUCD President Alex Lee, who signed off on the resolution, said that housing in Davis has become a major problem that needs further discussion before UC Davis can move forward with the 10 year plan.
I definitely think that the issue of housing isnt going away anytime soon, Lee said. The issue is just going to get worse and worse and by the time we see any construction start on the proposed LRDP, its going to be pretty bad by then. I think that the city and the campus need to do their part to provide housing for all of its population, of course the key demographic is students, who are the majority of both populations, of the city and of the campus.
The City of Davis and the University have been in continuous discussion since LRDP planning began, although there hasnt always been mutual agreement regarding the final steps.
I think the relationship between the City of Davis and UC Davis is not that well and its not cohesive in terms of them having a mutual understanding, Martinez said. So I think there needs to be an improvement, especially by administration, to reach out to the City of Davis and the mayor, because the City of Davis has been reaching out to the administration, and they havent been that responsive. I think the resolution puts the administration on notice and lets them know that students are aware of the current issues that are going to affect them now and in the future, so I think it would be good for the administration to take student concerns into account moving forward in the next 10 years.
"
